FishID,Species,TagID,TagType,Origin,FishIDs,ProjectID,ReleaseSite,CaptureDate,CaptureLocation,Easting,Northing,ForkLength,TotalLength,LengthUnit,Mass,MassUnit,Alive,Recapture,InitialRelease,Sex,Interorbital,InsideMouth,OutsideMouth,DorsalScore,CaudalScore,FinClipObs,Surgeon,VIE,DevelopmentalStage,StockingMark1,StockingMark2,FinClip,ScaleSample,SensorType,SensorIDCode,SensorCodeSpace,System,Notes
2012-SNS-0022-DMR,SNS,A69-9001-28164,Acoustic,,,,,"2012-10-24 13:31:00","44°15.7  69°46.281; 16",438430,4901225,91.40,96.80,cm,5266.0,g,1,0,1,M,69.00,49.00,,,,,,,,,,,,,NA,NA,Kennebec,"44°15.7  69°46.281"
2013-SNS-0001-DMR,SNS,A69-9001-28166,Acoustic,,,,,"2013-09-16 11:15:00","44° 15.732  69° 46.360",438325,4901285,82.20,94.80,cm,5100.0,g,1,0,1,F,65.00,47.00,,,,,,,,,,,,,NA,NA,Kennebec,"44° 15.732  69° 46.360"
2013-SNS-0002-DMR,SNS,A69-9001-28169,Acoustic,,,,,"2013-09-16 11:15:00","44° 15.732  69° 46.360",438325,4901285,104.40,116.80,cm,6500.0,g,1,0,1,,65.00,47.00,,,,,,,,,,,,,NA,NA,Kennebec,"44° 15.732  69° 46.360"
2013-SNS-0003-DMR,SNS,A69-9001-28175,Acoustic,,,,,"2013-09-16 11:15:00","44° 15.732  69° 46.360",438325,4901285,92.70,108.10,cm,6000.0,g,1,0,1,,65.00,47.00,,,,,,,,,,,,,NA,NA,Kennebec,"44° 15.732  69° 46.360"
2013-SNS-0161-DMR,SNS,A69-9001-28172,Acoustic,,,,,"2013-10-10 13:20:00","44° 00.463  69° 53.250",428854,4873112,70.20,81.50,cm,2400.0,g,1,0,1,,50.00,35.00,,,,,,,,,,,,,NA,NA,Kennebec,"44° 00.463  69° 53.250"
2025-SNS-0001,SNS,A69-2801-201219,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,73.00,88.00,cm,,g,1,0,1,UNK,54.00,36.00,41.00,,,,,,,,,,,,NA,NA,Kennebec,
2025-SNS-0002,SNS,A69-2801-201218,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,68.00,82.00,cm,,g,1,0,1,UNK,57.00,38.00,46.00,,,,,,,,,,,,NA,NA,Kennebec,
2025-SNS-0003,SNS,A69-2801-201216,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,65.00,76.00,cm,,g,1,0,1,UNK,51.00,40.00,47.00,,,,,,,,,,,,NA,NA,Kennebec,
2025-SNS-0004,SNS,A69-2801-201221,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,75.00,86.00,cm,,g,1,0,1,UNK,59.00,46.00,54.00,,,,,,,,,,,,NA,NA,Kennebec,"NO RIGHT PEC"
2025-SNS-0005,SNS,A69-2801-201220,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,65.00,77.00,cm,,g,1,0,1,UNK,50.00,36.00,43.00,,,,,,,,,,,,NA,NA,Kennebec,"WOUND L"
2025-SNS-0006,SNS,A69-2801-201129,Acoustic,Wild,,,,"2025-08-04 00:00:00",Hallowell,437291,4902372,74.00,84.00,cm,,g,1,0,1,UNK,57.00,44.00,55.00,,,,,,,,,,,,NA,NA,Kennebec,"CAUDAL DEFORMITY"
